id,titre,description,ville,domaine,contrat,niveau_etude
38,CDI Développeur Fullstack,"CDI Développeur Fullstack basé à Agadir, domaine Informatique - Dev Web. Niveau requis: Bac+2. Contrat: CDI. Missions variées dans une entreprise dynamique.",Agadir,Informatique - Dev Web,CDI,Bac+2
39,Stage BI,"Stage BI basé à Tanger, domaine Informatique - BI. Niveau requis: Bac+3. Contrat: Stage. Missions variées dans une entreprise dynamique.",Tanger,Informatique - BI,Stage,Bac+3
40,CDD Sécurité Réseau,"CDD Sécurité Réseau basé à Agadir, domaine Informatique - Cybersecurite. Niveau requis: Bac+5. Contrat: CDD. Missions variées dans une entreprise dynamique.",Agadir,Informatique - Cybersecurite,CDD,Bac+5
41,Stage Marketing Digital,"Stage Marketing Digital basé à Oujda, domaine Management - Marketing. Niveau requis: Bac+2. Contrat: Stage. Missions variées dans une entreprise dynamique.",Oujda,Management - Marketing,Stage,Bac+2
42,CDI Comptable Confirmé,"CDI Comptable Confirmé basé à Casablanca, domaine Management - Comptabilité. Niveau requis: Bac+5. Contrat: CDI. Missions variées dans une entreprise dynamique.",Casablanca,Management - Comptabilité,CDI,Bac+5
43,CDD RH Généraliste,"CDD RH Généraliste basé à Tanger, domaine Management - RH. Niveau requis: Bac+3. Contrat: CDD. Missions variées dans une entreprise dynamique.",Tanger,Management - RH,CDD,Bac+3
44,CDD Frontend,"CDD Frontend basé à Tanger, domaine Informatique - Dev Web. Niveau requis: Bac+2. Contrat: CDD. Missions variées dans une entreprise dynamique.",Tanger,Informatique - Dev Web,CDD,Bac+2
45,Stage BI,"Stage BI basé à Marrakech, domaine Informatique - BI. Niveau requis: Bac+5. Contrat: Stage. Missions variées dans une entreprise dynamique.",Marrakech,Informatique - BI,Stage,Bac+5
46,Stage Deep Learning,"Stage Deep Learning basé à Agadir, domaine Informatique - IA. Niveau requis: Bac+5. Contrat: Stage. Missions variées dans une entreprise dynamique.",Agadir,Informatique - IA,Stage,Bac+5
47,CDI Chargé Recrutement,"CDI Chargé Recrutement basé à Marrakech, domaine Management - RH. Niveau requis: Bac+5. Contrat: CDI. Missions variées dans une entreprise dynamique.",Marrakech,Management - RH,CDI,Bac+5
48,Stage IA,"Stage IA basé à Fès, domaine Informatique - IA. Niveau requis: Bac+3. Contrat: Stage. Missions variées dans une entreprise dynamique.",Fès,Informatique - IA,Stage,Bac+3
49,CDI Consultant BI,"CDI Consultant BI basé à Rabat, domaine Informatique - BI. Niveau requis: Bac+3. Contrat: CDI. Missions variées dans une entreprise dynamique.",Rabat,Informatique - BI,CDI,Bac+3
50,Stage Deep Learning,"Stage Deep Learning basé à Tanger, domaine Informatique - IA. Niveau requis: Bac+2. Contrat: Stage. Missions variées dans une entreprise dynamique.",Tanger,Informatique - IA,Stage,Bac+2
51,Stage IA,"Stage IA basé à Casablanca, domaine Informatique - IA. Niveau requis: Bac+5. Contrat: Stage. Missions variées dans une entreprise dynamique.",Casablanca,Informatique - IA,Stage,Bac+5
52,CDD RH Généraliste,"CDD RH Généraliste basé à Rabat, domaine Management - RH. Niveau requis: Bac+5. Contrat: CDD. Missions variées dans une entreprise dynamique.",Rabat,Management - RH,CDD,Bac+5
53,Stage BI,"Stage BI basé à Tanger, domaine Informatique - BI. Niveau requis: Bac+5. Contrat: Stage. Missions variées dans une entreprise dynamique.",Tanger,Informatique - BI,Stage,Bac+5
54,CDI Responsable SEO,"CDI Responsable SEO basé à Casablanca, domaine Management - Marketing. Niveau requis: Bac+3. Contrat: CDI. Missions variées dans une entreprise dynamique.",Casablanca,Management - Marketing,CDI,Bac+3
55,CDD RH Généraliste,"CDD RH Généraliste basé à Fès, domaine Management - RH. Niveau requis: Bac+3. Contrat: CDD. Missions variées dans une entreprise dynamique.",Fès,Management - RH,CDD,Bac+3
56,Stage BI,"Stage BI basé à Casablanca, domaine Informatique - BI. Niveau requis: Bac+2. Contrat: Stage. Missions variées dans une entreprise dynamique.",Casablanca,Informatique - BI,Stage,Bac+2
57,CDI Ingénieur IA,"CDI Ingénieur IA basé à Casablanca, domaine Informatique - IA. Niveau requis: Bac+3. Contrat: CDI. Missions variées dans une entreprise dynamique.",Casablanca,Informatique - IA,CDI,Bac+3
58,CDD RH Généraliste,"CDD RH Généraliste basé à Agadir, domaine Management - RH. Niveau requis: Bac+3. Contrat: CDD. Missions variées dans une entreprise dynamique.",Agadir,Management - RH,CDD,Bac+3
59,CDI Responsable SEO,"CDI Responsable SEO basé à Marrakech, domaine Management - Marketing. Niveau requis: Bac+2. Contrat: CDI. Missions variées dans une entreprise dynamique.",Marrakech,Management - Marketing,CDI,Bac+2
60,Stage Comptabilité,"Stage Comptabilité basé à Agadir, domaine Management - Comptabilité. Niveau requis: Bac+5. Contrat: Stage. Missions variées dans une entreprise dynamique.",Agadir,Management - Comptabilité,Stage,Bac+5
61,Stage Dev Web,"Stage Dev Web basé à Marrakech, domaine Informatique - Dev Web. Niveau requis: Bac+2. Contrat: Stage. Missions variées dans une entreprise dynamique.",Marrakech,Informatique - Dev Web,Stage,Bac+2
62,CDI Comptable Confirmé,"CDI Comptable Confirmé basé à Oujda, domaine Management - Comptabilité. Niveau requis: Bac+2. Contrat: CDI. Missions variées dans une entreprise dynamique.",Oujda,Management - Comptabilité,CDI,Bac+2
63,Stage Marketing Digital,"Stage Marketing Digital basé à Agadir, domaine Management - Marketing. Niveau requis: Bac+3. Contrat: Stage. Missions variées dans une entreprise dynamique.",Agadir,Management - Marketing,Stage,Bac+3
64,Stage Comptabilité,"Stage Comptabilité basé à Casablanca, domaine Management - Comptabilité. Niveau requis: Bac+2. Contrat: Stage. Missions variées dans une entreprise dynamique.",Casablanca,Management - Comptabilité,Stage,Bac+2
65,CDI Développeur Fullstack,"CDI Développeur Fullstack basé à Agadir, domaine Informatique - Dev Web. Niveau requis: Bac+5. Contrat: CDI. Missions variées dans une entreprise dynamique.",Agadir,Informatique - Dev Web,CDI,Bac+5
66,Stage Dev Web,"Stage Dev Web basé à Marrakech, domaine Informatique - Dev Web. Niveau requis: Bac+3. Contrat: Stage. Missions variées dans une entreprise dynamique.",Marrakech,Informatique - Dev Web,Stage,Bac+3
67,Stage BI,"Stage BI basé à Agadir, domaine Informatique - BI. Niveau requis: Bac+3. Contrat: Stage. Missions variées dans une entreprise dynamique.",Agadir,Informatique - BI,Stage,Bac+3
68,Stage Comptabilité,"Stage Comptabilité basé à Casablanca, domaine Management - Comptabilité. Niveau requis: Bac+5. Contrat: Stage. Missions variées dans une entreprise dynamique.",Casablanca,Management - Comptabilité,Stage,Bac+5
69,Stage Marketing Digital,"Stage Marketing Digital basé à Agadir, domaine Management - Marketing. Niveau requis: Bac+2. Contrat: Stage. Missions variées dans une entreprise dynamique.",Agadir,Management - Marketing,Stage,Bac+2
70,Stage Marketing Digital,"Stage Marketing Digital basé à Oujda, domaine Management - Marketing. Niveau requis: Bac+3. Contrat: Stage. Missions variées dans une entreprise dynamique.",Oujda,Management - Marketing,Stage,Bac+3
71,CDD Analyste Données,"CDD Analyste Données basé à Rabat, domaine Informatique - BI. Niveau requis: Bac+5. Contrat: CDD. Missions variées dans une entreprise dynamique.",Rabat,Informatique - BI,CDD,Bac+5
72,CDD RH Généraliste,"CDD RH Généraliste basé à Tanger, domaine Management - RH. Niveau requis: Bac+3. Contrat: CDD. Missions variées dans une entreprise dynamique.",Tanger,Management - RH,CDD,Bac+3
73,CDD RH Généraliste,"CDD RH Généraliste basé à Marrakech, domaine Management - RH. Niveau requis: Bac+2. Contrat: CDD. Missions variées dans une entreprise dynamique.",Marrakech,Management - RH,CDD,Bac+2
74,CDD Assistant Comptable,"CDD Assistant Comptable basé à Casablanca, domaine Management - Comptabilité. Niveau requis: Bac+2. Contrat: CDD. Missions variées dans une entreprise dynamique.",Casablanca,Management - Comptabilité,CDD,Bac+2
75,CDD Frontend,"CDD Frontend basé à Casablanca, domaine Informatique - Dev Web. Niveau requis: Bac+2. Contrat: CDD. Missions variées dans une entreprise dynamique.",Casablanca,Informatique - Dev Web,CDD,Bac+2
76,CDI Développeur Fullstack,"CDI Développeur Fullstack basé à Marrakech, domaine Informatique - Dev Web. Niveau requis: Bac+3. Contrat: CDI. Missions variées dans une entreprise dynamique.",Marrakech,Informatique - Dev Web,CDI,Bac+3
77,Stage IA,"Stage IA basé à Agadir, domaine Informatique - IA. Niveau requis: Bac+3. Contrat: Stage. Missions variées dans une entreprise dynamique.",Agadir,Informatique - IA,Stage,Bac+3
78,Stage RH,"Stage RH basé à Fès, domaine Management - RH. Niveau requis: Bac+3. Contrat: Stage. Missions variées dans une entreprise dynamique.",Fès,Management - RH,Stage,Bac+3
79,CDI Comptable Confirmé,"CDI Comptable Confirmé basé à Oujda, domaine Management - Comptabilité. Niveau requis: Bac+3. Contrat: CDI. Missions variées dans une entreprise dynamique.",Oujda,Management - Comptabilité,CDI,Bac+3
80,CDI Responsable SEO,"CDI Responsable SEO basé à Rabat, domaine Management - Marketing. Niveau requis: Bac+2. Contrat: CDI. Missions variées dans une entreprise dynamique.",Rabat,Management - Marketing,CDI,Bac+2
81,CDI Développeur Fullstack,"CDI Développeur Fullstack basé à Oujda, domaine Informatique - Dev Web. Niveau requis: Bac+3. Contrat: CDI. Missions variées dans une entreprise dynamique.",Oujda,Informatique - Dev Web,CDI,Bac+3
82,Stage Deep Learning,"Stage Deep Learning basé à Rabat, domaine Informatique - IA. Niveau requis: Bac+5. Contrat: Stage. Missions variées dans une entreprise dynamique.",Rabat,Informatique - IA,Stage,Bac+5
83,Stage IA,"Stage IA basé à Rabat, domaine Informatique - IA. Niveau requis: Bac+2. Contrat: Stage. Missions variées dans une entreprise dynamique.",Rabat,Informatique - IA,Stage,Bac+2
84,Stage BI,"Stage BI basé à Fès, domaine Informatique - BI. Niveau requis: Bac+2. Contrat: Stage. Missions variées dans une entreprise dynamique.",Fès,Informatique - BI,Stage,Bac+2
85,CDI Comptable Confirmé,"CDI Comptable Confirmé basé à Rabat, domaine Management - Comptabilité. Niveau requis: Bac+3. Contrat: CDI. Missions variées dans une entreprise dynamique.",Rabat,Management - Comptabilité,CDI,Bac+3
86,CDI Comptable Confirmé,"CDI Comptable Confirmé basé à Fès, domaine Management - Comptabilité. Niveau requis: Bac+5. Contrat: CDI. Missions variées dans une entreprise dynamique.",Fès,Management - Comptabilité,CDI,Bac+5
87,CDI Analyste Sécurité,"CDI Analyste Sécurité basé à Marrakech, domaine Informatique - Cybersecurite. Niveau requis: Bac+2. Contrat: CDI. Missions variées dans une entreprise dynamique.",Marrakech,Informatique - Cybersecurite,CDI,Bac+2
88,Stage Dev Web,"Stage Dev Web basé à Rabat, domaine Informatique - Dev Web. Niveau requis: Bac+5. Contrat: Stage. Missions variées dans une entreprise dynamique.",Rabat,Informatique - Dev Web,Stage,Bac+5
89,CDI Ingénieur IA,"CDI Ingénieur IA basé à Tanger, domaine Informatique - IA. Niveau requis: Bac+2. Contrat: CDI. Missions variées dans une entreprise dynamique.",Tanger,Informatique - IA,CDI,Bac+2
90,CDD RH Généraliste,"CDD RH Généraliste basé à Rabat, domaine Management - RH. Niveau requis: Bac+5. Contrat: CDD. Missions variées dans une entreprise dynamique.",Rabat,Management - RH,CDD,Bac+5
91,CDI Chargé Recrutement,"CDI Chargé Recrutement basé à Rabat, domaine Management - RH. Niveau requis: Bac+3. Contrat: CDI. Missions variées dans une entreprise dynamique.",Rabat,Management - RH,CDI,Bac+3
92,CDD Assistant Comptable,"CDD Assistant Comptable basé à Casablanca, domaine Management - Comptabilité. Niveau requis: Bac+3. Contrat: CDD. Missions variées dans une entreprise dynamique.",Casablanca,Management - Comptabilité,CDD,Bac+3
93,CDI Comptable Confirmé,"CDI Comptable Confirmé basé à Fès, domaine Management - Comptabilité. Niveau requis: Bac+5. Contrat: CDI. Missions variées dans une entreprise dynamique.",Fès,Management - Comptabilité,CDI,Bac+5
94,CDD Sécurité Réseau,"CDD Sécurité Réseau basé à Tanger, domaine Informatique - Cybersecurite. Niveau requis: Bac+5. Contrat: CDD. Missions variées dans une entreprise dynamique.",Tanger,Informatique - Cybersecurite,CDD,Bac+5
95,CDI Comptable Confirmé,"CDI Comptable Confirmé basé à Rabat, domaine Management - Comptabilité. Niveau requis: Bac+5. Contrat: CDI. Missions variées dans une entreprise dynamique.",Rabat,Management - Comptabilité,CDI,Bac+5
96,Stage Dev Web,"Stage Dev Web basé à Agadir, domaine Informatique - Dev Web. Niveau requis: Bac+5. Contrat: Stage. Missions variées dans une entreprise dynamique.",Agadir,Informatique - Dev Web,Stage,Bac+5
97,CDD RH Généraliste,"CDD RH Généraliste basé à Tanger, domaine Management - RH. Niveau requis: Bac+2. Contrat: CDD. Missions variées dans une entreprise dynamique.",Tanger,Management - RH,CDD,Bac+2
98,CDI Développeur Fullstack,"CDI Développeur Fullstack basé à Oujda, domaine Informatique - Dev Web. Niveau requis: Bac+2. Contrat: CDI. Missions variées dans une entreprise dynamique.",Oujda,Informatique - Dev Web,CDI,Bac+2
99,CDI Consultant BI,"CDI Consultant BI basé à Oujda, domaine Informatique - BI. Niveau requis: Bac+5. Contrat: CDI. Missions variées dans une entreprise dynamique.",Oujda,Informatique - BI,CDI,Bac+5
100,Stage BI,"Stage BI basé à Rabat, domaine Informatique - BI. Niveau requis: Bac+2. Contrat: Stage. Missions variées dans une entreprise dynamique.",Rabat,Informatique - BI,Stage,Bac+2
101,Stage Pentest,"Stage Pentest basé à Marrakech, domaine Informatique - Cybersecurite. Niveau requis: Bac+5. Contrat: Stage. Missions variées dans une entreprise dynamique.",Marrakech,Informatique - Cybersecurite,Stage,Bac+5
102,Stage Comptabilité,"Stage Comptabilité basé à Casablanca, domaine Management - Comptabilité. Niveau requis: Bac+2. Contrat: Stage. Missions variées dans une entreprise dynamique.",Casablanca,Management - Comptabilité,Stage,Bac+2
103,CDI Ingénieur IA,"CDI Ingénieur IA basé à Oujda, domaine Informatique - IA. Niveau requis: Bac+5. Contrat: CDI. Missions variées dans une entreprise dynamique.",Oujda,Informatique - IA,CDI,Bac+5
104,CDI Responsable SEO,"CDI Responsable SEO basé à Agadir, domaine Management - Marketing. Niveau requis: Bac+5. Contrat: CDI. Missions variées dans une entreprise dynamique.",Agadir,Management - Marketing,CDI,Bac+5
105,CDI Responsable SEO,"CDI Responsable SEO basé à Marrakech, domaine Management - Marketing. Niveau requis: Bac+2. Contrat: CDI. Missions variées dans une entreprise dynamique.",Marrakech,Management - Marketing,CDI,Bac+2
106,Stage RH,"Stage RH basé à Tanger, domaine Management - RH. Niveau requis: Bac+2. Contrat: Stage. Missions variées dans une entreprise dynamique.",Tanger,Management - RH,Stage,Bac+2
107,CDD Frontend,"CDD Frontend basé à Agadir, domaine Informatique - Dev Web. Niveau requis: Bac+2. Contrat: CDD. Missions variées dans une entreprise dynamique.",Agadir,Informatique - Dev Web,CDD,Bac+2
108,Stage RH,"Stage RH basé à Agadir, domaine Management - RH. Niveau requis: Bac+5. Contrat: Stage. Missions variées dans une entreprise dynamique.",Agadir,Management - RH,Stage,Bac+5
109,CDD Community Manager,"CDD Community Manager basé à Agadir, domaine Management - Marketing. Niveau requis: Bac+3. Contrat: CDD. Missions variées dans une entreprise dynamique.",Agadir,Management - Marketing,CDD,Bac+3
110,Stage Dev Web,"Stage Dev Web basé à Casablanca, domaine Informatique - Dev Web. Niveau requis: Bac+2. Contrat: Stage. Missions variées dans une entreprise dynamique.",Casablanca,Informatique - Dev Web,Stage,Bac+2
111,Stage IA,"Stage IA basé à Marrakech, domaine Informatique - IA. Niveau requis: Bac+3. Contrat: Stage. Missions variées dans une entreprise dynamique.",Marrakech,Informatique - IA,Stage,Bac+3
112,CDD Sécurité Réseau,"CDD Sécurité Réseau basé à Agadir, domaine Informatique - Cybersecurite. Niveau requis: Bac+2. Contrat: CDD. Missions variées dans une entreprise dynamique.",Agadir,Informatique - Cybersecurite,CDD,Bac+2
113,CDI Analyste Sécurité,"CDI Analyste Sécurité basé à Agadir, domaine Informatique - Cybersecurite. Niveau requis: Bac+5. Contrat: CDI. Missions variées dans une entreprise dynamique.",Agadir,Informatique - Cybersecurite,CDI,Bac+5
114,CDD Assistant Comptable,"CDD Assistant Comptable basé à Fès, domaine Management - Comptabilité. Niveau requis: Bac+3. Contrat: CDD. Missions variées dans une entreprise dynamique.",Fès,Management - Comptabilité,CDD,Bac+3
115,CDD Assistant Comptable,"CDD Assistant Comptable basé à Marrakech, domaine Management - Comptabilité. Niveau requis: Bac+5. Contrat: CDD. Missions variées dans une entreprise dynamique.",Marrakech,Management - Comptabilité,CDD,Bac+5
116,CDI Analyste Sécurité,"CDI Analyste Sécurité basé à Agadir, domaine Informatique - Cybersecurite. Niveau requis: Bac+5. Contrat: CDI. Missions variées dans une entreprise dynamique.",Agadir,Informatique - Cybersecurite,CDI,Bac+5
117,CDD RH Généraliste,"CDD RH Généraliste basé à Marrakech, domaine Management - RH. Niveau requis: Bac+3. Contrat: CDD. Missions variées dans une entreprise dynamique.",Marrakech,Management - RH,CDD,Bac+3
118,Stage Comptabilité,"Stage Comptabilité basé à Agadir, domaine Management - Comptabilité. Niveau requis: Bac+2. Contrat: Stage. Missions variées dans une entreprise dynamique.",Agadir,Management - Comptabilité,Stage,Bac+2
119,Stage Marketing Digital,"Stage Marketing Digital basé à Tanger, domaine Management - Marketing. Niveau requis: Bac+5. Contrat: Stage. Missions variées dans une entreprise dynamique.",Tanger,Management - Marketing,Stage,Bac+5
120,Stage BI,"Stage BI basé à Tanger, domaine Informatique - BI. Niveau requis: Bac+3. Contrat: Stage. Missions variées dans une entreprise dynamique.",Tanger,Informatique - BI,Stage,Bac+3
121,CDI Développeur Fullstack,"CDI Développeur Fullstack basé à Agadir, domaine Informatique - Dev Web. Niveau requis: Bac+2. Contrat: CDI. Missions variées dans une entreprise dynamique.",Agadir,Informatique - Dev Web,CDI,Bac+2
122,CDD Assistant Comptable,"CDD Assistant Comptable basé à Rabat, domaine Management - Comptabilité. Niveau requis: Bac+5. Contrat: CDD. Missions variées dans une entreprise dynamique.",Rabat,Management - Comptabilité,CDD,Bac+5
123,CDI Responsable SEO,"CDI Responsable SEO basé à Oujda, domaine Management - Marketing. Niveau requis: Bac+2. Contrat: CDI. Missions variées dans une entreprise dynamique.",Oujda,Management - Marketing,CDI,Bac+2
124,CDI Chargé Recrutement,"CDI Chargé Recrutement basé à Marrakech, domaine Management - RH. Niveau requis: Bac+5. Contrat: CDI. Missions variées dans une entreprise dynamique.",Marrakech,Management - RH,CDI,Bac+5
125,Stage IA,"Stage IA basé à Fès, domaine Informatique - IA. Niveau requis: Bac+3. Contrat: Stage. Missions variées dans une entreprise dynamique.",Fès,Informatique - IA,Stage,Bac+3
126,CDI Chargé Recrutement,"CDI Chargé Recrutement basé à Agadir, domaine Management - RH. Niveau requis: Bac+3. Contrat: CDI. Missions variées dans une entreprise dynamique.",Agadir,Management - RH,CDI,Bac+3
127,CDD RH Généraliste,"CDD RH Généraliste basé à Tanger, domaine Management - RH. Niveau requis: Bac+3. Contrat: CDD. Missions variées dans une entreprise dynamique.",Tanger,Management - RH,CDD,Bac+3
128,CDD Analyste Données,"CDD Analyste Données basé à Fès, domaine Informatique - BI. Niveau requis: Bac+5. Contrat: CDD. Missions variées dans une entreprise dynamique.",Fès,Informatique - BI,CDD,Bac+5
129,CDD Community Manager,"CDD Community Manager basé à Fès, domaine Management - Marketing. Niveau requis: Bac+2. Contrat: CDD. Missions variées dans une entreprise dynamique.",Fès,Management - Marketing,CDD,Bac+2
130,Stage IA,"Stage IA basé à Rabat, domaine Informatique - IA. Niveau requis: Bac+3. Contrat: Stage. Missions variées dans une entreprise dynamique.",Rabat,Informatique - IA,Stage,Bac+3
